;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;DATA  SERVICE AC 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PT DHARMA POLIMETAL Tbk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;OFFICE AZP;GE005;SPLITE;1 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
102;OFFICE HYUNDAI;GF001;SPLITE;2 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
103;OFFICE HYUNDAI;GF002;SPLITE;1 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
104;OFFICE HYUNDAI;GF003;SPLITE;1 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
105;OFFICE D 03;GG001;SPLITE;2 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
106;OFFICE D 03;GG002;SPLITE;2 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
107;OFFICE ATAS;3W001;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;
108;OFFICE ATAS;3W002;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;
109;OFFICE ATAS;3W003;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;
110;OFFICE ATAS;3W004;SPLITE;2 PK;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;
111;GEDUNG C;AICOOL1;;15 PK;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;
112;GEDUNG C;AICOOL2;;15 PK;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;
113;GEDUNG C;AICOOL3;;15 PK;;;;;;;;;;;;;;;;;;;v;;;;;;;;;;;;
;NOTE : ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
